id,hdate,product,price
16944,2013-09-30,4,952.15002
16945,2013-10-01,4,966.84003
16946,2013-10-02,4,974.5
16947,2013-10-03,4,983.34998
16948,2013-10-04,4,978.13
16949,2013-10-07,4,967.76001
16950,2013-10-08,4,985.96002
16951,2013-10-09,4,993.51001
16952,2013-10-10,4,1003.10999
16953,2013-10-11,4,1009.94
16954,2013-10-16,4,1000.27002
16955,2013-10-17,4,1012.97998
16956,2013-10-18,4,1014.35999
16957,2013-10-21,4,1014.87
16958,2013-10-22,4,1002.13
16959,2013-10-23,4,1009.53998
16960,2013-10-24,4,1024.08997
16961,2013-10-25,4,1017.26001
16962,2013-10-28,4,1019.54999
16963,2013-10-29,4,1013.54999
16964,2013-10-30,4,1018.57001
16965,2013-10-31,4,1002.09003
16966,2013-11-01,4,980.27002
16967,2013-11-04,4,978.34003
16968,2013-11-06,4,983.56
16969,2013-11-07,4,990.23999
16970,2013-11-08,4,988.12
16971,2013-11-11,4,982.72998
16972,2013-11-12,4,967.47998
16973,2013-11-13,4,947.75
16974,2013-11-14,4,964.60999
16975,2013-11-15,4,955.72998
16976,2013-11-18,4,965.46002
16977,2013-11-19,4,963.71997
16978,2013-11-20,4,954.15997
16979,2013-11-21,4,945.89001
16980,2013-11-22,4,947
16981,2013-11-25,4,950.92999
16982,2013-11-26,4,927.10999
16983,2013-11-27,4,930.29999
16984,2013-11-28,4,925.51001
16985,2013-11-29,4,933.53003
16986,2013-12-02,4,951.48999
16987,2013-12-03,4,945.29999
16988,2013-12-04,4,938.32001
16989,2013-12-05,4,929.06
16990,2013-12-06,4,922.09003
16991,2013-12-09,4,928.95
16992,2013-12-10,4,939.19
16993,2013-12-11,4,938.28998
16994,2013-12-12,4,928.72998
16995,2013-12-13,4,916.32001
16996,2013-12-16,4,909.5
16997,2013-12-17,4,921.35999
16998,2013-12-18,4,923.96002
16999,2013-12-19,4,929.92999
17000,2013-12-20,4,920.35999
17001,2013-12-23,4,919.39001
17002,2013-12-24,4,925.56
17003,2013-12-27,4,927.64001
17004,2013-12-30,4,939.92999
17005,2014-01-02,4,952.84003
17006,2014-01-03,4,937.90002
17007,2014-01-06,4,963.27002
17008,2014-01-07,4,916.12
17009,2014-01-08,4,922.03003
17010,2014-01-09,4,921.53003
17011,2014-01-10,4,934.40997
17012,2014-01-13,4,963.27002
17013,2014-01-15,4,973.84998
17014,2014-01-16,4,968.15997
17015,2014-01-17,4,969.88
17016,2014-01-20,4,971.72998
17017,2014-01-21,4,980.42999
17018,2014-01-22,4,983.42999
17019,2014-01-23,4,989.23999
17020,2014-01-24,4,975.90002
17021,2014-01-27,4,947.84003
17022,2014-01-28,4,952.17999
17023,2014-01-29,4,966.67999
17024,2014-01-30,4,964.90997
17025,2014-02-03,4,961.88
17026,2014-02-04,4,952.76001
17027,2014-02-05,4,962.14001
17028,2014-02-06,4,974.14001
17029,2014-02-07,4,981.89001
17030,2014-02-10,4,980.62
17031,2014-02-11,4,990.64001
17032,2014-02-12,4,995.77002
17033,2014-02-13,4,993.78003
17034,2014-02-14,4,999.84998
17035,2014-02-17,4,1013.01001
17036,2014-02-18,4,1016.17
17037,2014-02-19,4,1026.04004
17038,2014-02-20,4,1025.16003
17039,2014-02-21,4,1036.45996
17040,2014-02-24,4,1035.56995
17041,2014-02-25,4,1022.5
17042,2014-02-26,4,1012.92999
17043,2014-02-27,4,1022.78998
17044,2014-02-28,4,1032.09998
17045,2014-03-03,4,1024.64001
17046,2014-03-04,4,1031.59998
17047,2014-03-05,4,1047.97998
17048,2014-03-06,4,1058.82996
17049,2014-03-07,4,1064.51001
17050,2014-03-10,4,1061.96
17051,2014-03-11,4,1069.39
17052,2014-03-12,4,1062.12
17053,2014-03-13,4,1072.75
17054,2014-03-14,4,1102.62
17055,2014-03-17,4,1107.42004
17056,2014-03-18,4,1094.79004
17057,2014-03-19,4,1100.92004
17058,2014-03-20,4,1071.93994
17059,2014-03-21,4,1073.31995
17060,2014-03-24,4,1078.83997
17061,2014-03-25,4,1073.25
17062,2014-03-26,4,1078.67004
17063,2014-03-27,4,1077.20996
17064,2014-03-28,4,1085.02002
17065,2014-04-01,4,1108.93994
17066,2014-04-02,4,1109.77002
17067,2014-04-03,4,1117.18994
17068,2014-04-04,4,1109.18994
17069,2014-04-07,4,1120.69995
17070,2014-04-08,4,1113.65002
17071,2014-04-10,4,1069.18005
17072,2014-04-11,4,1077.14001
17073,2014-04-14,4,1091.94995
17074,2014-04-15,4,1089.55005
17075,2014-04-16,4,1086.26001
17076,2014-04-17,4,1094.47998
17077,2014-04-21,4,1097.66003
17078,2014-04-22,4,1096.08997
17079,2014-04-23,4,1096.84998
17080,2014-04-24,4,1099.39001
17081,2014-04-25,4,1102.96997
17082,2014-04-28,4,1090.75
17083,2014-04-29,4,1094.08997
17084,2014-04-30,4,1095.88
17085,2014-05-02,4,1093.20996
17086,2014-05-05,4,1093.78003
17087,2014-05-06,4,1089.47998
17088,2014-05-07,4,1096.77002
17089,2014-05-08,4,1096.03003
17090,2014-05-09,4,1102.03003
17091,2014-05-12,4,1108.27002
17092,2014-05-13,4,1109.29004
17093,2014-05-14,4,1122.44995
17094,2014-05-16,4,1127.85999
17095,2014-05-19,4,1122.18005
17096,2014-05-20,4,1096.89001
17097,2014-05-21,4,1101.43994
17098,2014-05-22,4,1116.18005
17099,2014-05-23,4,1116.69995
17100,2014-05-26,4,1115.23999
17101,2014-05-28,4,1117.64001
17102,2014-05-30,4,1093.13
17103,2014-06-02,4,1094.77002
17104,2014-06-03,4,1101.31006
17105,2014-06-04,4,1097.27002
17106,2014-06-05,4,1099.15002
17107,2014-06-06,4,1098.91504
17108,2014-06-09,4,1082.56006
17109,2014-06-10,4,1094.55005
17110,2014-06-11,4,1098.75
17111,2014-06-12,4,1090.64001
17112,2014-06-13,4,1090.03003
17113,2014-06-16,4,1077.87
17114,2014-06-17,4,1083.20996
17115,2014-06-18,4,1080.95996
17116,2014-06-19,4,1072.60999
17117,2014-06-20,4,1065.06995
17118,2014-06-23,4,1061.39001
17119,2014-06-24,4,1065.25
17120,2014-06-25,4,1060.31995
17121,2014-06-26,4,1069.55005
17122,2014-06-27,4,1065.52002
17123,2014-06-30,4,1069.29004
17124,2014-07-01,4,1068.98999
17125,2014-07-02,4,1074.58997
17126,2014-07-03,4,1073.56006
17127,2014-07-04,4,1079.64001
17128,2014-07-07,4,1102.92004
17129,2014-07-08,4,1106.72998
17130,2014-07-10,4,1119.13
17131,2014-07-11,4,1105.22998
17132,2014-07-14,4,1104.38
17133,2014-07-15,4,1112.71997
17134,2014-07-16,4,1120.08997
17135,2014-07-17,4,1109.84998
17136,2014-07-18,4,1116.08997
17137,2014-07-21,4,1126.22998
17138,2014-07-22,4,1109.71997
17139,2014-07-23,4,1116.27002
17140,2014-07-24,4,1122.58997
17141,2014-07-25,4,1126.46997
17142,2014-08-04,4,1134.12
17143,2014-08-05,4,1139.09998
17144,2014-08-06,4,1129.10999
17145,2014-08-07,4,1130.73999
17146,2014-08-08,4,1130.81995
17147,2014-08-11,4,1147.68994
17148,2014-08-12,4,1153.71997
17149,2014-08-13,4,1161.23999
17150,2014-08-14,4,1156.72998
17151,2014-08-15,4,1156.68994
17152,2014-08-18,4,1159.93005
17153,2014-08-19,4,1161.65002
17154,2014-08-20,4,1163.77002
17155,2014-08-21,4,1166.97998
17156,2014-08-22,4,1165.59998
17157,2014-08-25,4,1163.06995
17158,2014-08-26,4,1151.84998
17159,2014-08-27,4,1157.97998
17160,2014-08-28,4,1161.69995
17161,2014-08-29,4,1157.10999
17162,2014-09-01,4,1160.93994
17163,2014-09-02,4,1164.59998
17164,2014-09-03,4,1173.28003
17165,2014-09-04,4,1166.26001
17166,2014-09-05,4,1167.92004
17167,2014-09-08,4,1172.08997
17168,2014-09-09,4,1162.90002
17169,2014-09-10,4,1148.19995
17170,2014-09-11,4,1147.71997
17171,2014-09-12,4,1148.29004
17172,2014-09-15,4,1152.27002
17173,2014-09-16,4,1148.31995
17174,2014-09-17,4,1162.03003
17175,2014-09-18,4,1171.39001
17176,2014-09-19,4,1171.29004
17177,2014-09-22,4,1173.18005
17178,2014-09-23,4,1172.23999
17179,2014-09-24,4,1170.68005
17180,2014-09-25,4,1176.93005
17181,2014-09-26,4,1147.81006
17182,2014-09-29,4,1150.5
17183,2014-09-30,4,1151.65002
17184,2014-10-01,4,1154.25
17185,2014-10-02,4,1118.92004
17186,2014-10-03,4,1098.40002
17187,2014-10-06,4,1104.15002
17188,2014-10-07,4,1116.77002
17189,2014-10-08,4,1097.68994
17190,2014-10-09,4,1103.39001
17191,2014-10-10,4,1096.18994
17192,2014-10-13,4,1086.21997
17193,2014-10-14,4,1084.78003
17194,2014-10-15,4,1090.12
17195,2014-10-16,4,1089.65002
17196,2014-10-17,4,1109.62
17197,2014-10-20,4,1105.62
17198,2014-10-21,4,1102.69995
17199,2014-10-22,4,1115.63
17200,2014-10-23,4,1122.63
17201,2014-10-24,4,1123.13
17202,2014-10-27,4,1114.44995
17203,2014-10-28,4,1107.73999
17204,2014-10-29,4,1129.64001
17205,2014-10-30,4,1135.56995
17206,2014-10-31,4,1146.80005
17207,2014-11-03,4,1147.84998
17208,2014-11-04,4,1145.32996
17209,2014-11-05,4,1142.31995
17210,2014-11-06,4,1135.97998
17211,2014-11-07,4,1127.27002
17212,2014-11-10,4,1124.28003
17213,2014-11-11,4,1140.75
17214,2014-11-12,4,1155.52002
17215,2014-11-13,4,1152.96997
17216,2014-11-14,4,1155.56006
17217,2014-11-17,4,1155.32996
17218,2014-11-18,4,1160.14001
17219,2014-11-19,4,1166.93994
17220,2014-11-20,4,1164.60999
17221,2014-11-21,4,1178.87
17222,2014-11-24,4,1189.16003
17223,2014-11-25,4,1183.71997
17224,2014-11-26,4,1190.5
17225,2014-11-27,4,1200.43994
17226,2014-11-28,4,1196.09998
17227,2014-12-01,4,1191.13
17228,2014-12-02,4,1190.28003
17229,2014-12-03,4,1188.43994
17230,2014-12-04,4,1195.06006
17231,2014-12-05,4,1194.83997
17232,2014-12-08,4,1180.77002
17233,2014-12-09,4,1177.56995
17234,2014-12-10,4,1178.96997
17235,2014-12-11,4,1180.12
17236,2014-12-12,4,1186.07996
17237,2014-12-15,4,1181.37
17238,2014-12-16,4,1150.81006
17239,2014-12-17,4,1156.76001
17240,2014-12-18,4,1180.20996
17241,2014-12-19,4,1189.45996
17242,2014-12-22,4,1180.65002
17243,2014-12-23,4,1176.70996
17244,2014-12-24,4,1183.39001
17245,2014-12-29,4,1187.23999
17246,2014-12-30,4,1208.13
17247,2015-01-02,4,1219.52002
17248,2015-01-05,4,1214.92004
17249,2015-01-06,4,1192.89001
17250,2015-01-07,4,1210.57996
17251,2015-01-08,4,1218.65002
17252,2015-01-09,4,1223.98999
17253,2015-01-12,4,1214.27002
17254,2015-01-13,4,1217.90002
17255,2015-01-14,4,1200.06006
17256,2015-01-15,4,1228.43994
17257,2015-01-16,4,1204.26001
17258,2015-01-19,4,1198.90002
17259,2015-01-20,4,1197.40002
17260,2015-01-21,4,1199.78003
17261,2015-01-22,4,1210.31995
17262,2015-01-23,4,1231.95996
17263,2015-01-26,4,1216.21997
17264,2015-01-27,4,1225.93994
17265,2015-01-28,4,1225.20996
17266,2015-01-29,4,1225.40002
17267,2015-01-30,4,1222.78003
17268,2015-02-02,4,1220.23999
17269,2015-02-03,4,1228.43005
17270,2015-02-04,4,1236.06006
17271,2015-02-05,4,1231.22998
17272,2015-02-06,4,1242.05005
17273,2015-02-09,4,1244.07996
17274,2015-02-10,4,1241.22998
17275,2015-02-11,4,1247.35999
17276,2015-02-12,4,1251.91003
17277,2015-02-13,4,1256.18005
17278,2015-02-16,4,1241.09998
17279,2015-02-17,4,1238.95996
17280,2015-02-18,4,1253.75
17281,2015-02-20,4,1258.97998
17282,2015-02-23,4,1254.03003
17283,2015-02-24,4,1251.89001
17284,2015-02-25,4,1248.66003
17285,2015-02-26,4,1252.55005
17286,2015-02-27,4,1263.55005
17287,2015-03-02,4,1267.18994
17288,2015-03-03,4,1265.42004
17289,2015-03-04,4,1259.56995
17290,2015-03-05,4,1269.32996
17291,2015-03-06,4,1271.31995
17292,2015-03-09,4,1260.07996
17293,2015-03-10,4,1263
17294,2015-03-11,4,1246.76001
17295,2015-03-12,4,1252.89001
17296,2015-03-13,4,1244.15002
17297,2015-03-16,4,1238.87
17298,2015-03-17,4,1239.95996
17299,2015-03-18,4,1233.28003
17300,2015-03-19,4,1244.10999
17301,2015-03-20,4,1232
17302,2015-03-23,4,1225.28003
17303,2015-03-24,4,1219.10999
17304,2015-03-25,4,1201.25
17305,2015-03-26,4,1193
17306,2015-03-27,4,1198.31006
17307,2015-03-30,4,1209.42004
17308,2015-03-31,4,1225.79004
17309,2015-04-01,4,1224.53003
17310,2015-04-02,4,1226.96997
17311,2015-04-06,4,1222
17312,2015-04-07,4,1228.96997
17313,2015-04-08,4,1224.40002
17314,2015-04-09,4,1232.21997
17315,2015-04-10,4,1228.41003
17316,2015-04-13,4,1214.83997
17317,2015-04-14,4,1203.67004
17318,2015-04-15,4,1204.51001
17319,2015-04-16,4,1200.08997
17320,2015-04-17,4,1203.33997
17321,2015-04-20,4,1202.76001
17322,2015-04-21,4,1209.96997
17323,2015-04-22,4,1203.18994
17324,2015-04-23,4,1199.15002
17325,2015-04-24,4,1194.42004
17326,2015-04-27,4,1147.62
17327,2015-04-28,4,1164.35999
17328,2015-04-29,4,1142.91003
17329,2015-04-30,4,1131.25
17330,2015-05-04,4,1129.28003
17331,2015-05-05,4,1128.18005
17332,2015-05-06,4,1137.43994
17333,2015-05-07,4,1136.53003
17334,2015-05-08,4,1141.52002
17335,2015-05-11,4,1145.04004
17336,2015-05-12,4,1156.89001
17337,2015-05-13,4,1167.44995
17338,2015-05-15,4,1154.72998
17339,2015-05-18,4,1158.29004
17340,2015-05-19,4,1173.04004
17341,2015-05-20,4,1177.34998
17342,2015-05-21,4,1185.21997
17343,2015-05-22,4,1182.69995
17344,2015-05-25,4,1180.56995
17345,2015-05-26,4,1189.05005
17346,2015-05-27,4,1179.47998
17347,2015-05-28,4,1172.28003
17348,2015-05-29,4,1161.31006
17349,2015-06-01,4,1167.56006
17350,2015-06-03,4,1147.52002
17351,2015-06-04,4,1136.89001
17352,2015-06-05,4,1139.96997
17353,2015-06-08,4,1128.56995
17354,2015-06-09,4,1101.03003
17355,2015-06-10,4,1102.22998
17356,2015-06-11,4,1099.68994
17357,2015-06-12,4,1099.31006
17358,2015-06-15,4,1067.15002
17359,2015-06-16,4,1078.83997
17360,2015-06-17,4,1093.47998
17361,2015-06-18,4,1093.55005
17362,2015-06-19,4,1103.93994
17363,2015-06-22,4,1100.63
17364,2015-06-23,4,1101.75
17365,2015-06-24,4,1099.17004
17366,2015-06-25,4,1096.77002
17367,2015-06-26,4,1098.67004
17368,2015-06-29,4,1089.54004
17369,2015-06-30,4,1091.43994
17370,2015-07-01,4,1092.06995
17371,2015-07-02,4,1108.25
17372,2015-07-03,4,1113.65002
17373,2015-07-06,4,1097.81995
17374,2015-07-07,4,1098
17375,2015-07-08,4,1081.19995
17376,2015-07-09,4,1076
17377,2015-07-10,4,1079.82996
17378,2015-07-13,4,1081.71997
17379,2015-07-14,4,1084.88
17380,2015-07-15,4,1069.81006
17381,2015-07-22,4,1073.68994
17382,2015-07-23,4,1077.32996
17383,2015-07-24,4,1061.62
17384,2015-07-27,4,1040.78003
17385,2015-07-28,4,1032.60999
17386,2015-07-29,4,1037.77002
17387,2015-07-30,4,1027.45996
17388,2015-07-31,4,1043.54004
17389,2015-08-03,4,1045.85999
17390,2015-08-04,4,1050.27002
17391,2015-08-05,4,1064.07996
17392,2015-08-06,4,1061.54004
17393,2015-08-07,4,1050.46997
17394,2015-08-10,4,1035.98999
17395,2015-08-11,4,1003.12
17396,2015-08-12,4,967.54999
17397,2015-08-13,4,998.46002
17398,2015-08-14,4,996.46997
17399,2015-08-18,4,971.95001
17400,2015-08-19,4,971.71997
17401,2015-08-20,4,962.34998
17402,2015-08-21,4,945.60999
17403,2015-08-24,4,904.70001
17404,2015-08-25,4,920.69
17405,2015-08-26,4,933.41998
17406,2015-08-27,4,971.58002
17407,2015-08-28,4,980.21002
17408,2015-08-31,4,984.69
17409,2015-09-01,4,975.03003
17410,2015-09-02,4,968.46002
17411,2015-09-03,4,974.72998
17412,2015-09-04,4,971.28998
17413,2015-09-07,4,945.01001
17414,2015-09-08,4,953.23999
17415,2015-09-09,4,967.02002
17416,2015-09-10,4,964.65997
17417,2015-09-11,4,972.06
17418,2015-09-14,4,975
17419,2015-09-15,4,967.62
17420,2015-09-16,4,965.45001
17421,2015-09-17,4,970.96997
17422,2015-09-18,4,970.53003
17423,2015-09-21,4,975.82001
17424,2015-09-22,4,972.25
